Permutation_Index,Input_Array,MergeSort_Comparisons,QuickSort_Comparisons,ShakerSort_Comparisons,HeapSort_Comparisons
1,"[1, 2, 3, 4]",4,4,3,7
2,"[1, 2, 4, 3]",4,4,5,6
3,"[1, 3, 2, 4]",5,4,5,7
4,"[1, 3, 4, 2]",5,4,6,6
5,"[1, 4, 2, 3]",5,6,5,7
6,"[1, 4, 3, 2]",5,5,6,7
7,"[2, 1, 3, 4]",4,5,5,7
8,"[2, 1, 4, 3]",4,6,5,6
9,"[2, 3, 1, 4]",5,4,6,7
10,"[2, 3, 4, 1]",5,4,6,6
11,"[2, 4, 1, 3]",5,6,6,7
12,"[2, 4, 3, 1]",5,6,6,7
13,"[3, 1, 2, 4]",5,6,5,7
14,"[3, 1, 4, 2]",5,6,6,6
15,"[3, 2, 1, 4]",5,4,6,7
16,"[3, 2, 4, 1]",5,4,6,6
17,"[3, 4, 1, 2]",4,5,6,7
18,"[3, 4, 2, 1]",4,6,6,7
19,"[4, 1, 2, 3]",5,6,5,6
20,"[4, 1, 3, 2]",5,5,6,6
21,"[4, 2, 1, 3]",5,4,6,6
22,"[4, 2, 3, 1]",5,4,6,6
23,"[4, 3, 1, 2]",4,4,6,6
24,"[4, 3, 2, 1]",4,4,6,6
